cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
2.60.40.10,deepdta,composite,validation,High,21211,0.9339845180159346,,original,full,FP32 original,,E,
2.60.40.10,deepdta,composite,validation,High,21211,0.8944161200193392,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,composite,cath_lso_test,Weak+,14709,0.6493451789262131,,original,full,FP32 original,,E,
2.60.40.10,deepdta,composite,cath_lso_test,Weak+,14709,0.6456097715949277,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,composite,cath_lso_test,High,14709,0.5475649736347126,,original,full,FP32 original,,E,
2.60.40.10,deepdta,composite,cath_lso_test,High,14709,0.5506594206736164,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,composite,validation,Weak+,16332,0.9354712482881911,,original,full,FP32 original,,E,
3.10.200.10,deepdta,composite,validation,Weak+,16332,0.919930991395836,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,composite,validation,High,16332,0.9236979004580426,,original,full,FP32 original,,E,
3.10.200.10,deepdta,composite,validation,High,16332,0.8863146093422164,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,composite,cath_lso_test,Weak+,95479,0.6279383179436365,,original,full,FP32 original,,E,
3.10.200.10,deepdta,composite,cath_lso_test,Weak+,95479,0.6325048946314555,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,composite,cath_lso_test,High,95479,0.5513262624641855,,original,full,FP32 original,,E,
3.10.200.10,deepdta,composite,cath_lso_test,High,95479,0.5487387705193928,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,composite,validation,Weak+,21557,0.947876018501941,,original,full,FP32 original,,E,
3.30.565.10,deepdta,composite,validation,Weak+,21557,0.9284490132039199,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,composite,validation,High,21557,0.9403445261584997,,original,full,FP32 original,,E,
3.30.565.10,deepdta,composite,validation,High,21557,0.8900885659095489,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,composite,cath_lso_test,Weak+,7882,0.6434622987856538,,original,full,FP32 original,,E,
3.30.565.10,deepdta,composite,cath_lso_test,Weak+,7882,0.6602779935046597,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,composite,cath_lso_test,High,7882,0.5222044852598502,,original,full,FP32 original,,E,
3.30.565.10,deepdta,composite,cath_lso_test,High,7882,0.520744132007305,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,composite,validation,Weak+,21811,0.943731279857984,,original,full,FP32 original,,E,
3.40.190.10,deepdta,composite,validation,Weak+,21811,0.9251486987573595,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,composite,validation,High,21811,0.9229921725991728,,original,full,FP32 original,,E,
3.40.190.10,deepdta,composite,validation,High,21811,0.8930348935798939,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,composite,cath_lso_test,Weak+,2657,0.5086865711990809,,original,full,FP32 original,,E,
3.40.190.10,deepdta,composite,cath_lso_test,Weak+,2657,0.5275439754823852,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,composite,cath_lso_test,High,2657,0.5914570515572088,,original,full,FP32 original,,E,
3.40.190.10,deepdta,composite,cath_lso_test,High,2657,0.6057795583536032,,intervened,full,Logit additive projection,,E,
