cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,auc_from_logits,average_precision,brier,ece,bce,ordinal_violation_fraction,world_size,optimizer_batch
2.40.70.10,deepdta,composite,cath_lso_test,High,36510,20485,0.5610791563955081,0.6264839102619512,0.6264839102619512,0.6725887428871226,0.2754909161699648,0.18161999354843802,0.8251050329264524,0.0,8,65536
2.40.70.10,deepdta,random,validation,Weak+,20070,18525,0.9230194319880418,0.9820036424144752,0.9820036424144754,0.9982820580149833,0.02045141911571849,0.009720883379831187,0.08175215135683195,0.0,8,65536
2.40.70.10,deepdta,random,validation,High,20070,11143,0.5552067762830095,0.9745117096994246,0.9745117096994246,0.9796817770958794,0.06040208935234095,0.016113237934564338,0.21036385918210912,0.0,8,65536
2.40.70.10,deepdta,random,cath_lso_test,Weak+,36510,34786,0.9527800602574638,0.7108638842892634,0.7108638842892632,0.9773020396072779,0.063992239928497,0.06408634581004327,0.26429242967315414,0.0,8,65536
2.40.70.10,deepdta,random,cath_lso_test,High,36510,20485,0.5610791563955081,0.5740076864583004,0.5740076864583004,0.6257537727890057,0.3372317681750599,0.27365382499428276,1.1447924003625356,0.0,8,65536
2.40.70.10,transformerdta,composite,validation,Weak+,20070,17895,0.8916292974588939,0.9680224810757515,0.9680244851030757,0.9956460132201173,0.03865504498906026,0.017517547181032874,0.14033202880620183,0.0004484304932735426,4,4096
2.40.70.10,transformerdta,composite,validation,High,20070,10141,0.5052815146985551,0.9688419223086816,0.9688419223086816,0.9711239871800095,0.06912383054417216,0.026027320691451798,0.24299141740451544,0.0004484304932735426,4,4096
2.40.70.10,transformerdta,composite,cath_lso_test,Weak+,36510,34786,0.9527800602574638,0.713245441168094,0.7132455495536981,0.9769640084847891,0.05089125704514971,0.04546610471386001,0.24507237118891567,0.00043823609969871266,4,4096
2.40.70.10,transformerdta,composite,cath_lso_test,High,36510,20485,0.5610791563955081,0.6499776823877446,0.6499776823877446,0.6505298154931757,0.3025030717183776,0.2554097236210702,1.1495264895289485,0.00043823609969871266,4,4096
2.40.70.10,transformerdta,random,validation,Weak+,20070,18525,0.9230194319880418,0.9913467237923037,0.9913467237923038,0.9992111581882333,0.014688681646033106,0.006706550656896721,0.05663432209684034,0.0036870951669157946,8,8192
2.40.70.10,transformerdta,random,validation,High,20070,11143,0.5552067762830095,0.9903623637239648,0.9903623637239648,0.9924311931044635,0.03760247562355705,0.012345581984723228,0.13008839986227894,0.0036870951669157946,8,8192
2.40.70.10,transformerdta,random,cath_lso_test,Weak+,36510,34786,0.9527800602574638,0.7518338093851396,0.7518337676983686,0.9804085417966408,0.047949197871322256,0.04244183633133522,0.23905345652658452,8.216926869350862e-05,8,8192
2.40.70.10,transformerdta,random,cath_lso_test,High,36510,20485,0.5610791563955081,0.6737388759401975,0.6737388759401975,0.6793253561238684,0.27148142542383746,0.19596850788713577,1.0338719558437293,8.216926869350862e-05,8,8192
2.60.40.10,deepdta,composite,validation,Weak+,21211,18967,0.8942058365942199,0.9488451985327364,0.9488451985327363,0.9928845195493998,0.046874179633777026,0.02224826334335713,0.16783642484222744,0.0,8,65536
2.60.40.10,deepdta,composite,validation,High,21211,10615,0.5004478808165574,0.9339882876909266,0.9339882876909266,0.9345978740638538,0.10231909197061209,0.028017801123819353,0.33963999624770563,0.0,8,65536
